,Unnamed: 0,votes,eevp,timestamp,state,expected_votes,trump2016,votes2012,votes2016,vote_share_rep,vote_share_dem,vote_share_trd,effective_vote_split,dem_votes,rep_votes,votes_change,split_change,rep_votes_change,dem_votes_change,dem_share,rep_share
47,47,257678,11,2020-11-04T02:28:17Z,alabama,2300000,1318255,2074338,2123372,0.562,0.425,0,56.940222897669706,109513.15,144815.03600000002,2662,0.36127552924865824,2261.0920000000333,111.28599999999278,0.04180540946656378,0.8493959429000877
48,48,264984,11,2020-11-04T02:29:00Z,alabama,2300000,1318255,2074338,2123372,0.568,0.42,0,57.48987854251012,111293.28,150510.91199999998,7306,0.5496556448404135,5695.87599999996,1780.1300000000047,0.243653161784835,0.7796162058581932
49,49,269473,11,2020-11-04T02:31:33Z,alabama,2300000,1318255,2074338,2123372,0.569,0.419,0,57.5910931174089,112909.18699999999,153330.137,4489,0.10121457489878338,2819.225000000006,1615.906999999992,0.35997037202049276,0.6280296279795068
50,50,270553,11,2020-11-04T02:31:58Z,alabama,2300000,1318255,2074338,2123372,0.57,0.418,0,57.692307692307686,113091.154,154215.21,1080,0.10121457489878338,885.073000000004,181.9670000000042,0.16848796296296684,0.8195120370370407
51,51,273485,11,2020-11-04T02:32:19Z,alabama,2300000,1318255,2074338,2123372,0.5720000000000001,0.41600000000000004,0,57.89473684210527,113769.76000000001,156433.42,2932,0.20242914979758098,2218.210000000021,678.6060000000143,0.2314481582537566,0.7565518417462554
52,52,289656,12,2020-11-04T02:32:33Z,alabama,2300000,1318255,2074338,2123372,0.591,0.397,0,59.81781376518219,114993.432,171186.696,16171,1.9230769230769198,14753.275999999983,1223.6719999999914,0.07567076865994629,0.9123292313400522
53,53,303052,13,2020-11-04T02:33:33Z,alabama,2300000,1318255,2074338,2123372,0.603,0.386,0,60.97067745197169,116978.072,182740.356,13396,1.1528636867895017,11553.660000000003,1984.6399999999994,0.14815168707076734,0.8624708868318903
54,54,307778,13,2020-11-04T02:33:39Z,alabama,2300000,1318255,2074338,2123372,0.6,0.38799999999999996,0,60.72874493927125,119417.86399999999,184666.8,4726,-0.24193251270043703,1926.4439999999886,2439.7919999999867,0.5162488362251347,0.4076267456622913
55,55,310028,13,2020-11-04T02:34:46Z,alabama,2300000,1318255,2074338,2123372,0.602,0.386,0,60.931174089068826,119670.808,186636.856,2250,0.20242914979757387,1970.0560000000114,252.9440000000177,0.11241955555556342,0.8755804444444495
56,56,316226,13,2020-11-04T02:35:38Z,alabama,2300000,1318255,2074338,2123372,0.605,0.384,0,61.17290192113246,121430.784,191316.72999999998,6198,0.24172783206363135,4679.873999999982,1759.975999999995,0.28395869635366167,0.7550619554695033
57,57,351230,15,2020-11-04T02:35:52Z,alabama,2300000,1318255,2074338,2123372,0.568,0.42,0,57.48987854251012,147516.6,199498.63999999998,35004,-3.6830233786223374,8181.9100000000035,26085.816000000006,0.745223860130271,0.23374214375499952
58,58,382216,16,2020-11-04T02:38:15Z,alabama,2300000,1318255,2074338,2123372,0.569,0.419,0,57.5910931174089,160148.504,217480.90399999998,30986,0.10121457489878338,17982.263999999996,12631.90399999998,0.4076648809139605,0.5803351190860387
59,59,387164,16,2020-11-04T02:38:29Z,alabama,2300000,1318255,2074338,2123372,0.573,0.414,0,58.05471124620061,160285.89599999998,221844.97199999998,4948,0.4636181287917083,4364.067999999999,137.39199999999255,0.02776717865804215,0.8819862570735649
60,60,388800,16,2020-11-04T02:38:46Z,alabama,2300000,1318255,2074338,2123372,0.573,0.415,0,57.99595141700404,161352.0,222782.4,1636,-0.05875982919656764,937.4280000000144,1066.1040000000212,0.6516528117359542,0.5730000000000088
61,61,394235,17,2020-11-04T02:39:23Z,alabama,2300000,1318255,2074338,2123372,0.578,0.41,0,58.502024291497975,161636.34999999998,227867.83,5435,0.5060728744939311,5085.429999999993,284.3499999999767,0.052318307267705005,0.9356816927322894
62,62,398903,17,2020-11-04T02:39:35Z,alabama,2300000,1318255,2074338,2123372,0.578,0.41,0,58.502024291497975,163550.22999999998,230565.93399999998,4668,0.0,2698.103999999992,1913.8800000000047,0.410000000000001,0.5779999999999983
63,63,401116,17,2020-11-04T02:40:43Z,alabama,2300000,1318255,2074338,2123372,0.578,0.41,0,58.502024291497975,164457.56,231845.04799999998,2213,0.0,1279.1140000000014,907.3300000000163,0.41000000000000736,0.5780000000000006
64,64,402460,17,2020-11-04T02:42:18Z,alabama,2300000,1318255,2074338,2123372,0.579,0.409,0,58.60323886639676,164606.13999999998,233024.34,1344,0.10121457489878338,1179.2920000000158,148.5799999999872,0.1105505952380857,0.8774494047619166
65,65,406849,17,2020-11-04T02:43:53Z,alabama,2300000,1318255,2074338,2123372,0.581,0.40700000000000003,0,58.80566801619433,165587.543,236379.26899999997,4389,0.20242914979757387,3354.9289999999746,981.4030000000203,0.2236051492367328,0.7643948507632661
66,66,422048,18,2020-11-04T02:45:28Z,alabama,2300000,1318255,2074338,2123372,0.57,0.419,0,57.63397371081901,176838.112,240567.36,15199,-1.1716943053753184,4188.091000000015,11250.568999999989,0.7402177116915579,0.27555043094940557
67,67,426538,18,2020-11-04T02:45:43Z,alabama,2300000,1318255,2074338,2123372,0.5710000000000001,0.41700000000000004,0,57.79352226720648,177866.34600000002,243553.19800000003,4490,0.15954855638746324,2985.838000000047,1028.2340000000258,0.22900534521158705,0.6649973273942198
68,68,440871,19,2020-11-04T02:45:54Z,alabama,2300000,1318255,2074338,2123372,0.5820000000000001,0.406,0,58.906882591093115,178993.62600000002,256586.92200000002,14333,1.1133603238866385,13033.723999999987,1127.2799999999988,0.07864927091327698,0.9093507290867221
69,69,452145,19,2020-11-04T02:50:20Z,alabama,2300000,1318255,2074338,2123372,0.586,0.402,0,59.311740890688256,181762.29,264956.97,11274,0.40485829959514064,8370.047999999952,2768.6639999999898,0.24557956359765742,0.7424204364023373
70,70,454854,19,2020-11-04T02:50:58Z,alabama,2300000,1318255,2074338,2123372,0.5870000000000001,0.401,0,59.412955465587046,182396.454,266999.298,2709,0.10121457489879049,2042.3280000000377,634.1639999999898,0.2340952380952343,0.7539047619047758
71,71,459786,19,2020-11-04T02:51:56Z,alabama,2300000,1318255,2074338,2123372,0.5870000000000001,0.401,0,59.412955465587046,184374.18600000002,269894.38200000004,4932,0.0,2895.0840000000317,1977.7320000000182,0.4010000000000037,0.5870000000000064
